,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
27,frozenset({'escalope'}),frozenset({'-'}),0.0793227569657379,0.9998666844420744,0.0793227569657379,1.0,1.0001333333333333,1.057495760108107e-05,inf
61,frozenset({'grated cheese'}),frozenset({'-'}),0.0523930142647647,0.9998666844420744,0.0523930142647647,1.0,1.0001333333333333,6.984803928113126e-06,inf
0,frozenset({'mineral water'}),frozenset({'-'}),0.23836821757099053,0.9998666844420744,0.23823490201306494,0.999440715883669,0.9995739746457868,-0.00010153736600837515,0.2383682175710475
1,frozenset({'-'}),frozenset({'mineral water'}),0.9998666844420744,0.23836821757099053,0.23823490201306494,0.23826666666666668,0.9995739746457868,-0.00010153736600837515,0.9998666844420744
11,frozenset({'green tea'}),frozenset({'-'}),0.13211571790427942,0.9998666844420744,0.13198240234635383,0.9989909182643796,0.9991241170534815,-0.0001157024772824311,0.13211571790430832
10,frozenset({'-'}),frozenset({'green tea'}),0.9998666844420744,0.13211571790427942,0.13198240234635383,0.132,0.9991241170534815,-0.0001157024772824311,0.9998666844420744
29,frozenset({'-'}),frozenset({'low fat yogurt'}),0.9998666844420744,0.07652313024930009,0.07638981469137449,0.07640000000000001,0.9983909407665507,-0.00012311383412220989,0.9998666844420744
28,frozenset({'low fat yogurt'}),frozenset({'-'}),0.07652313024930009,0.9998666844420744,0.07638981469137449,0.9982578397212545,0.9983909407665507,-0.00012311383412220989,0.07652313024930986
31,frozenset({'shrimp'}),frozenset({'-'}),0.07145713904812692,0.9998666844420744,0.0713238234902013,0.9981343283582088,0.9982674129353233,-0.00012378920956564177,0.07145713904812537
30,frozenset({'-'}),frozenset({'shrimp'}),0.9998666844420744,0.07145713904812692,0.0713238234902013,0.07133333333333333,0.9982674129353233,-0.00012378920956564177,0.9998666844420745
35,frozenset({'olive oil'}),frozenset({'-'}),0.0658578856152513,0.9998666844420744,0.0657245700573257,0.9979757085020244,0.9981087719298247,-0.0001245356771610029,0.06585788561525976
34,frozenset({'-'}),frozenset({'olive oil'}),0.9998666844420744,0.0658578856152513,0.0657245700573257,0.06573333333333334,0.9981087719298246,-0.0001245356771610029,0.9998666844420744
36,frozenset({'-'}),frozenset({'frozen smoothie'}),0.9998666844420744,0.06332489001466471,0.0631915744567391,0.0632,0.9980277894736843,-0.00012487336488271883,0.9998666844420745
37,frozenset({'frozen smoothie'}),frozenset({'-'}),0.06332489001466471,0.9998666844420744,0.0631915744567391,0.9978947368421054,0.9980277894736843,-0.00012487336488271883,0.06332489001467205
