,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'mineral water'}),frozenset({'cake'}),0.3534039437387188,0.12028743656983279,0.05115281136123693,0.14474318203719763,1.2033108873607683,0.008642756895237032,1.028594622052377
1,frozenset({'cake'}),frozenset({'mineral water'}),0.12028743656983279,0.3534039437387188,0.05115281136123693,0.4252548131370328,1.2033108873607683,0.008642756895237032,1.1250134338496773
2,frozenset({'eggs'}),frozenset({'chocolate'}),0.24057487313966558,0.2385314852024657,0.0616081463065763,0.2560872027180068,1.0735991623941794,0.0042234645141771,1.0235991605194639
3,frozenset({'chocolate'}),frozenset({'eggs'}),0.2385314852024657,0.24057487313966558,0.0616081463065763,0.2582809822958309,1.0735991623941792,0.0042234645141771,1.0238717206024606
4,frozenset({'chocolate'}),frozenset({'french fries'}),0.2385314852024657,0.22262711575792665,0.061267581650376324,0.2568532267275842,1.153737386630267,0.008164005082296824,1.0460556544152702
5,frozenset({'french fries'}),frozenset({'chocolate'}),0.22262711575792665,0.2385314852024657,0.061267581650376324,0.275202692366529,1.1537373866302671,0.008164005082296824,1.0505951205638415
6,frozenset({'chocolate'}),frozenset({'milk'}),0.2385314852024657,0.21261451486564725,0.06436672002179614,0.2698458023986293,1.2691786474180606,0.013651464015291576,1.078382467321276
7,frozenset({'milk'}),frozenset({'chocolate'}),0.21261451486564725,0.2385314852024657,0.06436672002179614,0.30273906775588655,1.2691786474180606,0.013651464015291576,1.0920854440342307
8,frozenset({'mineral water'}),frozenset({'chocolate'}),0.3534039437387188,0.2385314852024657,0.09658413649831421,0.27329671388647975,1.1457469174541268,0.01228616892190898,1.0478396470035822
9,frozenset({'chocolate'}),frozenset({'mineral water'}),0.2385314852024657,0.3534039437387188,0.09658413649831421,0.4049114791547687,1.1457469174541268,0.01228616892190898,1.0865544093219803
10,frozenset({'chocolate'}),frozenset({'spaghetti'}),0.2385314852024657,0.28277083404284303,0.08064571058815516,0.33809251856082234,1.1956414094304981,0.01319596357197586,1.0835791799749628
11,frozenset({'spaghetti'}),frozenset({'chocolate'}),0.28277083404284303,0.2385314852024657,0.08064571058815516,0.2851981211610261,1.1956414094304981,0.01319596357197586,1.0652861126139725
12,frozenset({'eggs'}),frozenset({'french fries'}),0.24057487313966558,0.22262711575792665,0.0600756053536764,0.24971687429218573,1.1216822058805949,0.006517115222763548,1.0361060479784916
13,frozenset({'french fries'}),frozenset({'eggs'}),0.22262711575792665,0.24057487313966558,0.0600756053536764,0.26984855438274435,1.1216822058805949,0.006517115222763548,1.0400926156057
14,frozenset({'eggs'}),frozenset({'milk'}),0.24057487313966558,0.21261451486564725,0.05980315362871641,0.24858437146092863,1.169178744066514,0.008653443687261779,1.047869454971565
15,frozenset({'milk'}),frozenset({'eggs'}),0.21261451486564725,0.24057487313966558,0.05980315362871641,0.28127502803139515,1.169178744066514,0.008653443687261779,1.0566282743456805
16,frozenset({'eggs'}),frozenset({'mineral water'}),0.24057487313966558,0.3534039437387188,0.09256547355515445,0.38476783691959227,1.0887479999489242,0.007545364623154652,1.0509789556902185
17,frozenset({'mineral water'}),frozenset({'eggs'}),0.3534039437387188,0.24057487313966558,0.09256547355515445,0.2619254119687771,1.0887479999489245,0.007545364623154652,1.028927345793144
18,frozenset({'eggs'}),frozenset({'spaghetti'}),0.24057487313966558,0.28277083404284303,0.07196131185505568,0.29912231030577574,1.0578258939550154,0.003933754327601291,1.0233299996609486
19,frozenset({'spaghetti'}),frozenset({'eggs'}),0.28277083404284303,0.24057487313966558,0.07196131185505568,0.25448633024208117,1.0578258939550154,0.003933754327601291,1.0186602307465844
20,frozenset({'french fries'}),frozenset({'green tea'}),0.22262711575792665,0.1901372475564486,0.05077819023941695,0.2280862781092244,1.199587566562987,0.008448483217773917,1.0491622696637923
21,frozenset({'green tea'}),frozenset({'french fries'}),0.1901372475564486,0.22262711575792665,0.05077819023941695,0.26706072004298764,1.199587566562987,0.008448483217773917,1.0606238545267583
22,frozenset({'mineral water'}),frozenset({'french fries'}),0.3534039437387188,0.22262711575792665,0.06552463985287607,0.18541004143779513,0.8328277568820527,-0.013152660839151481,0.9543118916100787
23,frozenset({'french fries'}),frozenset({'mineral water'}),0.22262711575792665,0.3534039437387188,0.06552463985287607,0.2943246137371883,0.8328277568820527,-0.013152660839151481,0.9162797354823314
24,frozenset({'french fries'}),frozenset({'spaghetti'}),0.22262711575792665,0.28277083404284303,0.05745325750093655,0.2580694508184182,0.9126452227365065,-0.005499197702484929,0.9667066098684404
25,frozenset({'spaghetti'}),frozenset({'french fries'}),0.28277083404284303,0.22262711575792665,0.05745325750093655,0.203179573648079,0.9126452227365066,-0.005499197702484929,0.975593569809845
26,frozenset({'frozen vegetables'}),frozenset({'milk'}),0.1603378401389504,0.21261451486564725,0.05118686782685693,0.31924384027187763,1.501514797677902,0.01709671573110829,1.1566336549181067
27,frozenset({'milk'}),frozenset({'frozen vegetables'}),0.21261451486564725,0.1603378401389504,0.05118686782685693,0.2407496395963479,1.5015147976779022,0.01709671573110829,1.105909464981547
28,frozenset({'mineral water'}),frozenset({'frozen vegetables'}),0.3534039437387188,0.1603378401389504,0.07223376358001567,0.20439433362243423,1.2747729010525777,0.015569738544362353,1.0553747859590736
29,frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.1603378401389504,0.3534039437387188,0.07223376358001567,0.45050977060322855,1.2747729010525777,0.015569738544362353,1.1767198426277974
30,frozenset({'frozen vegetables'}),frozenset({'spaghetti'}),0.1603378401389504,0.28277083404284303,0.0600415488880564,0.37446898895497027,1.324284345740671,0.01470268410333736,1.1465925002805757
31,frozenset({'spaghetti'}),frozenset({'frozen vegetables'}),0.28277083404284303,0.1603378401389504,0.0600415488880564,0.2123328917258822,1.324284345740671,0.01470268410333736,1.0660114546370483
32,frozenset({'mineral water'}),frozenset({'green tea'}),0.3534039437387188,0.1901372475564486,0.05844089500391649,0.16536571263370917,0.8697176106150103,-0.008754358134157515,0.970320492103306
